"","experiment_alias","cell_line"
"1","GSM1012165","heart"
"2","GSM1012166","heart"
"3","GSM1012167","tibialis anterior tissue"
"4","GSM1012168","tibialis anterior tissue"
"5","GSM1020234","Hs27"
"6","GSM1020235","Hs27"
"7","GSM1020236","Hs27"
"8","GSM1020237","Hs27"
"9","GSM1020238","Hs27"
"10","GSM1020239","Hs27"
"11","GSM1020240","Hs27"
"12","GSM1020241","Hs27"
"13","GSM1020242","Hs27"
"14","GSM1020243","Hs27"
"15","GSM1020244","Hs27"
"16","GSM1020245","Hs27"
"17","GSM1020246","Hs27"
"18","GSM1020247","Hs27"
"19","GSM1020248","Hs27"
"20","GSM1020249","Hs27"
"21","GSM1024291","v6.5"
"22","GSM1024292","v6.5"
"23","GSM1024293","v6.5"
"24","GSM1024294","v6.5"
"25","GSM1024295","v6.5"
"26","GSM1024296","v6.5"
"27","GSM1024297","v6.5"
"28","GSM1024298","v6.5"
"29","GSM1024299","v6.5"
"30","GSM1024300","v6.5"
"31","GSM1024311","v6.5"
"33","GSM1024313","v6.5"
"34","GSM1041191","BJ"
"35","GSM1041192","BJ"
"36","GSM1041193","BJ"
"37","GSM1041194","BJ"
"38","GSM1041195","BJ"
"39","GSM1041196","BJ"
"40","GSM1041197","BJ"
"41","GSM1041198","BJ"
"42","GSM1041199","BJ"
"43","GSM1047584","BJ"
"44","GSM1047585","BJ"
"45","GSM1047586","BJ"
"46","GSM1047587","BJ"
"47","GSM1047588","BJ"
"48","GSM1047589","BJ"
"49","GSM1047590","BJ"
"50","GSM1047591","BJ"
"51","GSM1060352","EGFP-10a+ MDA-MB-231"
"52","GSM1060353","EGFP-10a+ MDA-MB-231"
"53","GSM1060354","EGFP-10a+ MDA-MB-231"
"54","GSM1060355","EGFP-10a+ MDA-MB-231"
"55","GSM1060356","EGFP-10a+ MDA-MB-231"
"56","GSM1060357","EGFP-10a+ MDA-MB-231"
"57","GSM1060358","EGFP-10a+ MDA-MB-231"
"58","GSM1060359","EGFP-10a+ MDA-MB-231"
"59","GSM1060360","EGFP-10a+ MDA-MB-231"
"60","GSM1063574","3T3"
"61","GSM1063575","HEK293T"
"62","GSM1063576","HEK293T"
"63","GSM1063577","HEK293T"
"64","GSM1063578","HEK293T"
"65","GSM1115083","BJ"
"66","GSM1115084","BJ"
"67","GSM1115085","BJ"
"68","GSM1115086","BJ"
"69","GSM1115087","BJ"
"70","GSM1115204","BJ"
"71","GSM1115207","BJ"
"72","GSM1115210","BJ"
"73","GSM1115213","BJ"
"74","GSM1115216","BJ"
"75","GSM1122205","liver"
"76","GSM1122206","liver"
"77","GSM1122207","liver"
"78","GSM1122208","liver"
"79","GSM1122209","liver"
"80","GSM1122210","liver"
"81","GSM1122211","liver"
"82","GSM1122212","liver"
"83","GSM1122213","liver"
"84","GSM1122214","liver"
"85","GSM1122215","liver"
"86","GSM1122216","liver"
"87","GSM1133259","HeLa"
"88","GSM1133261","HeLa"
"89","GSM1184591","MM1.S"
"90","GSM1184592","MM1.S"
"91","GSM1184593","MM1.S"
"92","GSM1184594","MM1.S"
"93","GSM1184595","MM1.S"
"94","GSM1184596","MM1.S"
"95","GSM1184597","MM1.S"
"96","GSM1184598","MM1.S"
"97","GSM1184599","MM1.S"
"98","GSM1184600","MM1.S"
"99","GSM1184601","MM1.S"
"100","GSM1184602","MM1.S"
"101","GSM1187134","BJ"
"102","GSM1187135","BJ"
"103","GSM1187136","BJ"
"104","GSM1187137","BJ"
"105","GSM1187138","Cybrid Cells"
"106","GSM1187139","Cybrid Cells"
"107","GSM1187140","Cybrid Cells"
"108","GSM1187141","Cybrid Cells"
"109","GSM1187142","Cybrid Cells"
"110","GSM1187143","Cybrid Cells"
"111","GSM1197612","HeLa"
"112","GSM1197613","HeLa"
"113","GSM1197614","HeLa"
"114","GSM1197615","HeLa"
"115","GSM1197616","HeLa"
"116","GSM1197617","HeLa"
"117","GSM1197618","HeLa"
"118","GSM1197619","HeLa"
"119","GSM1197620","HeLa"
"120","GSM1197621","HeLa"
"121","GSM1197622","HeLa"
"122","GSM1197623","HeLa"
"123","GSM1197624","HeLa"
"124","GSM1197625","HeLa"
"125","GSM1197626","HeLa"
"126","GSM1197627","HeLa"
"127","GSM1197628","HeLa"
"128","GSM1197629","HeLa"
"129","GSM1197630","HeLa"
"130","GSM1197631","HeLa"
"131","GSM1197632","HeLa"
"132","GSM1197633","HeLa"
"133","GSM1206278","SW13"
