,HeLa
A2M,-0.348184830883782
A4GALT,-0.49814313471833
AAAS,0.326738583272783
AACS,0.0708940201662423
AADAT,-0.928034365323771
AAGAB,0.508338964552678
AAK1,-0.195653219356458
AAMDC,0.519881417821301
AAMP,0.344589784450465
AAR2,0.476081127297893
AARS1,0.550343036692453
AARS2,-1.38504491288759
AASDH,-1.41817957679521
AASDHPPT,0.732633511919792
AATF,0.449847170145636
ABCA1,-1.74287321789711
ABCA2,-1.15660169006948
ABCA3,-2.10557495384292
ABCA7,-1.03841987578862
ABCB10,-1.02038521821832
ABCB6,-0.329785527146681
ABCB7,0.116596457750326
ABCB8,-0.54434991530164
ABCB9,-1.66005836293522
ABCC1,0.145284209343511
ABCC10,-2.19510556664499
ABCC3,-0.720789668914518
ABCC4,-0.40392588380395
ABCC5,-0.952294506925672
ABCD1,-0.173494099638039
ABCD3,0.6871570046003
ABCD4,-1.23917241624471
ABCE1,0.631507792132135
ABCF1,0.16187911750078
ABCF3,0.296105856448995
ABCG1,0.133457190708322
ABCG2,-0.91777183224361
ABHD10,0.369418652731741
ABHD11,0.281918063984794
ABHD12,-0.125213187111306
ABHD13,-0.506697857834964
ABHD14A,-0.110184534453025
ABHD14B,0.907173096195907
ABHD15,-1.19267979656011
ABHD17A,-2.17593596327889
ABHD17B,0.320888188704052
ABHD17C,0.228085133468241
ABHD18,-0.19749252075265
ABHD2,0.356153216844959
ABHD3,0.66378808032072
ABHD4,0.697905072881024
ABHD5,0.145398395326555
ABHD6,-0.391409392830338
ABHD8,-0.834474462202158
ABI1,0.236030943388463
ABI2,-0.502225434961751
ABITRAM,0.474401415610256
ABL1,-0.773523743195694
ABL2,-0.520393114805674
ABLIM1,-0.209793854159606
ABLIM2,-0.841328005882463
ABLIM3,-0.980428285298878
ABR,-0.438432479317043
ABRACL,0.492108018370389
ABRAXAS1,-0.361563776945711
ABRAXAS2,0.289549495564812
ABT1,-0.0643828324045181
ABTB1,-0.173148814857328
ABTB2,-1.06306195264972
AC022506,1.01583967536814
AC092835,-0.235124741787278
AC093323,0.838207286713388
AC105052,0.0923109126361849
AC118549,-0.888980508358821
ACAA1,0.381341515440472
ACAA2,0.675701396289278
ACACA,-0.372583918358347
ACAD10,-1.64121791346512
ACAD8,-0.124721724007664
ACAD9,0.112685379633207
ACADL,0.239097888816773
ACADM,0.864814950212571
ACADS,-0.109152947903062
ACADSB,0.56970173838336
ACADVL,0.354583872193007
ACAP2,0.252936796513191
ACAP3,-1.18265708756
ACAT1,0.785970585031979
ACAT2,0.723278185283028
ACBD3,0.610419310246845
ACBD4,-0.572228790723205
ACBD5,0.199607734774346
ACBD6,0.204227486341616
ACCS,-1.11892587557124
ACD,0.180274143385524
ACER3,0.395838158431231
ACIN1,0.227729147190498
ACKR3,0.731270784597651
ACLY,0.689638047607586
ACO1,0.361462635739873
ACO2,-0.258181489870715
ACOT11,-1.06565947893965
ACOT13,0.960342427089549
ACOT2,-0.260518906784837
ACOT4,-0.316265333918737
ACOT7,0.735808666644481
ACOT8,-0.0752417177704864
ACOT9,0.475278764480195
ACOX1,0.477697662251927
ACOX3,-0.309722305627411
ACP1,1.20940780714604
ACP2,0.458825740001388
ACP6,-0.728625118001955
ACSF2,-0.49322021916613
ACSF3,-0.61517948241001
ACSL1,-0.0186209421082781
ACSL3,0.430635533217894
ACSL4,0.679273435635016
ACSL5,-0.904949205375581
ACSS2,-0.270576969644691
ACTA2,0.421019423984298
ACTB,2.5432231306778
ACTC1,0.265955513749569
ACTG1,1.77916667755516
ACTG2,0.47214962892378
ACTL6A,0.722790190995259
ACTL8,0.0398225004502194
ACTN1,0.562981693417544
ACTN4,0.751413774812771
ACTR10,0.657209781185676
ACTR1A,0.753507857810632
ACTR1B,-0.144855604005877
ACTR2,1.45969980491454
ACTR3,0.886074904792434
ACTR3B,-0.497819347394415
ACTR3C,-0.226433337560828
ACTR5,-0.198029967552911
ACTR6,0.580599985862089
ACTR8,0.157670124166937
ACTRT3,-0.947075741274868
ACVR1,0.0549404678753814
ACVR1B,-0.34604271615709
ACVR2A,-0.485404760386361
ACVR2B,-1.85790557677191
ACY1,0.220348409318822
ACYP1,1.100175723348
ACYP2,0.607306585917878
ADA,-0.44177175503838
ADAL,-0.353307820709024
ADAM10,0.493039399671569
ADAM12,-0.401451144586472
ADAM15,-0.335334055104512
ADAM17,-0.0064634348382629
ADAM19,-0.525994550945815
ADAM22,-1.15082440876371
ADAM23,-0.913164388847606
ADAM9,0.195297764787809
ADAMTS1,0.0269618259691569
ADAMTS15,-1.01641226162318
ADAMTS3,-0.719992916003517
ADAMTS6,-3.32755843330092
ADAMTS8,-0.900727742998528
ADAMTSL5,-0.804249809227899
ADAP2,-0.64169255567507
ADAR,0.132206978825568
ADARB1,-1.53531326038813
ADAT1,-0.898973129439146
ADAT2,0.048205984225108
ADAT3,-0.204586947040483
ADCK1,0.0866342031684565
ADCK2,-1.76830745265529
ADCK5,-1.56517628651114
ADCY3,-1.32131488147325
ADCY6,-1.0798129193591
ADCY7,-1.70099947696067
ADCY9,-1.08931885978019
ADD1,0.311843211440086
ADD3,0.0921974035943085
ADGRA3,-1.79634980606526
ADGRB2,-2.40679562284157
ADGRD1,-0.703287729840813
ADGRE2,-0.0113008717514979
ADGRE5,0.847824882298431
ADGRG1,0.527982797034579
ADGRG2,-0.917823636019437
ADGRG6,-0.998325387485349
ADGRL2,-1.02331168084323
ADH5,0.922945974111434
ADI1,1.12872340691314
ADIPOR1,-0.497149112507747
ADIPOR2,0.139100385783608
ADIRF,0.37215413142015
ADK,0.916124207027656
ADM,0.36997669947709
ADNP,-0.0390635536582062
ADNP2,-0.69771862600448
ADO,0.149674486223467
ADORA2B,-0.428509177087331
ADPGK,0.140593536984628
ADPRM,-0.688012752896156
ADPRS,0.12234217317605
ADRA2A,-0.0161638790474884
ADRB2,-1.03732530593081
ADRM1,0.871231450476058
ADSL,-0.334458801605196
ADSS1,-0.513682968717522
ADSS2,0.739646545369257
AEBP2,0.84356135353631
AEN,-0.190101079561184
AFAP1,-0.135114175680357
AFAP1L1,-1.51590617948772
AFDN,-1.39570223015162
AFF1,0.24200086243806
AFF4,0.0440605716147647
AFG1L,-0.661069226927241
AFG3L2,-0.19362831641197
AFMID,0.66403941024574
AFTPH,-0.957153595737575
AGA,0.568091751435602
AGAP1,-1.63055390450727
AGAP2,-1.80831884784186
AGAP3,-1.49368221845948
AGBL5,-2.1426208382466
AGFG1,0.130682187913831
AGFG2,-0.214294900733164
AGGF1,-1.70488987660202
AGK,0.315617478430049
AGL,0.130212274148778
AGMAT,0.273697153044498
AGO1,-0.974710638001527
AGO2,-0.545456675870068
AGO3,-0.690514190424529
AGO4,-2.53830893046578
AGPAT1,-0.490038220438858
AGPAT2,0.0419410388422445
AGPAT3,-0.409686727700012
AGPAT4,-0.247849516011013
AGPAT5,0.235660759993214
AGPS,0.497105308424469
AGRN,-0.210854864707241
AGT,0.531485671841875
AGTPBP1,-1.8627428166298
AGTRAP,0.838784133395883
AHCTF1,-0.261655422719693
AHCY,0.897182866149814
AHCYL1,0.838235793253479
AHCYL2,0.426688958878014
AHDC1,-1.23730491937783
AHI1,-1.12205427687136
AHNAK,-1.0387531716282
AHNAK2,-2.11027696390891
AHR,0.296891526332361
AHRR,-1.4749126312961
AHSA1,0.929098536722707
AIDA,-0.236961184109934
AIF1L,0.504338078535627
AIFM1,0.553592668958714
AIFM2,0.617127542412852
AIG1,0.806562617057695
AIMP1,1.01194837692711
AIMP2,0.924446472358706
AIP,0.415373988531524
AJUBA,-0.280586743105565
AK2,1.17234414299818
AK3,0.610487170451297
AK4,0.658733116280353
AK6,1.12438727799088
AKAP1,-0.376863769193292
AKAP10,-0.720639130386302
AKAP11,-0.360576551149611
AKAP12,0.0889261960907264
AKAP13,-0.548965186246624
AKAP17A,-0.838211029210929
AKAP7,-0.409907616164974
AKAP8,-0.1785301088767
AKAP8L,0.0127055832272468
AKAP9,-1.90393196985523
AKIP1,0.802568525966572
AKIRIN1,0.499248846820898
AKIRIN2,1.59898120228743
AKR1A1,0.459896230890352
AKR1B1,1.21387941109287
AKR1B10,-0.0349299685416529
AKR1C1,0.316089060577351
AKR1C2,0.980181469146261
AKR1C3,1.0726091428304
AKR7A2,0.458059922809047
AKT1,-1.40340691198147
AKT1S1,0.903658556143883
AKT2,-0.620003098829888
AKTIP,-0.282381146956545
AL135905,1.1432594989378
AL162231,0.241090683555166
AL589666,2.13126490108484
ALAD,-0.0122025068014861
ALAS1,0.450173172522928
ALCAM,0.360542589466569
ALDH16A1,-0.185595758166976
ALDH18A1,-0.0405253899841162
ALDH1A2,0.286656046458821
ALDH1A3,-0.232260350955113
ALDH1B1,0.19602765211922
ALDH1L2,-1.22958661230403
ALDH2,0.247996890789129
ALDH3A1,0.219881375621507
ALDH3A2,0.410964074035327
ALDH3B1,0.104726268405955
ALDH4A1,-0.101969885530416
ALDH5A1,-0.355024980874439
ALDH6A1,-0.0060764388531983
ALDH7A1,0.981983226714212
ALDH9A1,0.661002939503175
ALDOC,0.434084016130086
ALG1,0.233648112040936
ALG10,-0.0116081848126212
ALG10B,-0.542027382358177
ALG11,0.138646250995128
ALG12,-0.36996884310298
ALG13,-0.0310701511309141
ALG14,0.111658445003017
ALG2,-0.167720050117202
ALG3,0.657131468860697
ALG5,0.329506860908331
ALG6,0.396023376453193
ALG8,0.620719520825356
ALKBH1,0.273470596717314
ALKBH2,-0.0574530029130765
ALKBH3,-0.316632675752035
ALKBH4,-0.0747019171250716
ALKBH5,-0.731242409395701
ALKBH6,-0.0378496131581166
ALKBH7,0.402473209949293
ALKBH8,-1.17156468461574
ALMS1,-2.77271546781323
ALPK1,-1.48778124688236
ALPL,0.408602556349127
ALPP,0.646861197636334
ALS2,-1.88972763464864
ALS2CL,-1.8538519961699
ALX1,0.302067722517995
ALYREF,1.48750602177308
AMACR,0.33506127232583
AMBRA1,-0.738631289234649
AMD1,-0.297365425582978
AMDHD2,-0.0533390874913305
AMER1,-2.13900643738855
AMFR,-0.483191233109785
AMIGO1,-1.41362511071159
AMIGO2,-0.746164852975197
AMMECR1,0.751535037552425
AMMECR1L,0.0247702117478893
AMN1,-0.197513032966554
AMOTL1,-0.323633048019619
AMOTL2,-0.124351268026985
AMPD2,-0.225217685581375
AMPD3,-0.869598712443216
AMTN,0.481264547459273
AMZ2,-0.767785679327036
ANAPC1,-0.667494255207263
ANAPC10,-0.256559787599196
ANAPC11,1.19005565794218
ANAPC13,1.16556525444138
ANAPC15,0.102723875331046
ANAPC16,0.49294182835076
ANAPC2,0.376662736625731
ANAPC4,-0.107391477970719
ANAPC5,-0.207056424225014
ANAPC7,0.504974665974296
ANG,0.454860423823298
ANGEL1,-0.771212504446289
ANGEL2,-0.564190707839028
ANGPT1,-0.0808321921103166
ANKEF1,-0.714153857333645
ANKFY1,0.0719136705695921
ANKH,-0.455982203663964
ANKIB1,-1.72650816912328
ANKLE2,-0.439505645242998
ANKMY2,0.464702335261288
ANKRA2,-0.771757977870005
ANKRD1,-0.114196936806596
ANKRD10,-0.0701235455042152
ANKRD11,-1.39703056759851
ANKRD12,-2.45274860227937
ANKRD13A,-0.544636285666895
ANKRD13B,-0.670640389826916
ANKRD13C,-0.77272926989601
ANKRD13D,-2.09768453821362
ANKRD16,-0.535734090098429
ANKRD17,-0.152927786312949
ANKRD26,-2.13213437743849
ANKRD27,-1.37170059474849
ANKRD28,-0.653137688050794
ANKRD29,-0.533793033879895
ANKRD37,-0.513431122990759
ANKRD39,-0.207751997135799
ANKRD40,-0.327475382913286
ANKRD42,-0.748042489177465
ANKRD44,-0.785446058643299
ANKRD46,0.164590848047267
ANKRD49,-0.370421881644317
ANKRD50,-1.10837711292969
ANKRD52,0.22742996233518
ANKRD54,0.0529849922609672
ANKS1A,-0.307475278601853
ANKS3,-1.16126375047295
ANKS6,-2.12459198728791
ANKZF1,-0.352269771164672
ANLN,0.263922162815648
ANO10,0.0974585037953491
ANO4,-0.955941586511953
ANO6,-0.261119066160678
ANO8,-1.77551781637427
ANOS1,0.48058410475032
ANP32A,1.51967443084889
ANP32B,2.09158227992503
ANP32E,1.42265817896647
ANPEP,-0.0677303036348616
ANTKMT,0.436128410334689
ANTXR1,0.886885009767987
ANTXR2,-0.154254688757343
ANXA1,1.39396438623627
ANXA10,0.596870867370181
ANXA11,0.540287221218448
ANXA2,2.03138454929825
ANXA3,0.91587207134368
ANXA4,0.993149305773354
ANXA5,1.65687179899732
ANXA6,0.554308349642782
ANXA7,0.67923780434186
AOPEP,-1.20741487376105
AOX1,-1.38719422778541
AP002495,-0.252124727884162
AP1AR,-0.667342178621172
AP1B1,0.409649030192903
AP1G1,0.537481259323908
AP1G2,-0.29211872947831
AP1M1,0.688032468740557
AP1M2,-0.431480063359341
AP1S1,1.10332724749918
AP1S2,1.12744966005002
AP2A1,0.338113648876862
AP2A2,0.211838203946753
AP2B1,0.802292794110967
AP2M1,0.428608430588216
AP2S1,1.39193787153225
AP3B1,0.133576412104561
AP3D1,-0.166301444497132
AP3M1,0.921950726810477
AP3M2,-0.0300492752592791
AP3S1,0.257391946400627
AP3S2,-0.263071070673473
AP4B1,-0.0111913813764824
AP4E1,-0.805754193834169
AP4M1,-0.181477225885259
AP4S1,0.105903778322545
AP5B1,-0.996957522986739
AP5M1,-0.821473123050521
AP5S1,0.0583980841847359
AP5Z1,-0.232624217455372
APAF1,-1.11150890819217
APBA3,-1.10015440610514
APBB1,-0.3431394790045
APBB2,-1.00947059619412
APBB3,-1.25450189435961
APC,-1.94819701347297
APEH,0.156416837095444
APEX1,0.934923635879062
APEX2,0.354693299521575
APH1A,-0.0052660252576624
APH1B,0.552545277380128
API5,0.608672605597893
APIP,0.495180871069602
APLP1,0.0069404984398846
APLP2,0.715049438463579
APMAP,0.469068434662214
APOBEC3B,0.233133251560721
APOBEC3C,1.31274791898539
APOC1,1.22763855202914
APOL1,0.431131618196929
APOL2,0.425499613759552
APOL6,-0.0724531249178321
APOLD1,-0.63858064889839
APOM,0.796775697810117
APOO,1.01387484363151
APOOL,1.07658931944975
APP,1.01419770142836
APPBP2,0.113883775980615
APPL1,0.113281840269841
APPL2,-0.178262694872397
APRT,1.1115345245563
APTX,0.214398385645258
AQP1,0.164452074265468
AQP3,0.816041563148026
AQR,-0.0820501846669255
AR,-0.23044875735202
ARAF,-0.603375217187014
ARAP1,-0.589252527625721
ARAP2,-2.62867692469637
ARAP3,-1.3073018562207
ARCN1,0.858738764900938
AREG,0.580578691302021
AREL1,-1.92119109962116
ARF1,1.66499426769744
ARF3,1.37886666596513
ARF4,1.70481605445792
ARF5,1.26065419138899
ARF6,0.707454449001639
ARFGAP1,0.293688154118667
ARFGAP2,0.223403122074055
ARFGAP3,0.296408180632629
ARFGEF1,-0.923827160224103
ARFGEF2,-0.643510868523593
ARFIP1,0.758793617235518
ARFIP2,0.135543868070882
ARFRP1,0.722297211558159
ARG2,-0.214340461161406
ARGLU1,0.443710101854801
ARHGAP1,1.15162589688376
ARHGAP10,-0.968071524148
ARHGAP11A,-0.705195229013351
ARHGAP12,-1.07660425718229
ARHGAP17,0.508561494840254
ARHGAP18,-0.373808145204322
ARHGAP21,-1.74100635390585
ARHGAP23,-1.5679953860957
ARHGAP26,-0.868123054669081
ARHGAP27,-1.73308859024528
ARHGAP28,-0.650925442624616
ARHGAP29,-0.741014784433804
ARHGAP31,-0.888041648190613
ARHGAP32,-2.54340569243424
ARHGAP35,-1.44592819499683
ARHGAP39,-2.15515656470979
ARHGAP42,-0.979421273516867
ARHGAP44,-1.12724734500581
ARHGAP45,-1.63232974860486
ARHGAP5,-1.55967306136454
ARHGDIA,1.84263968652465
ARHGEF1,-0.13972773481335
ARHGEF10L,-2.63928062048757
ARHGEF11,-1.87088108977955
ARHGEF12,-1.48960956147677
ARHGEF16,-0.947573701309934
ARHGEF17,-2.23376425453969
ARHGEF18,-0.846740924341041
ARHGEF19,-1.55964619523026
ARHGEF2,-0.315423855230202
ARHGEF26,-0.733133817169543
ARHGEF28,-2.16647172406371
ARHGEF3,-0.33847818515896
ARHGEF39,-0.0445856798816631
ARHGEF4,-1.96360075951116
ARHGEF40,-1.3841624344782
ARHGEF5,-1.6714470927299
ARHGEF7,0.313128772595139
ARID1A,-0.342421244110459
ARID1B,-1.09567677186351
ARID2,-0.477116358262301
ARID3A,-1.34516404248978
ARID4A,-0.741421856255318
ARID4B,-0.468811972282409
ARID5A,-1.49701048197739
ARID5B,0.205116993179673
ARIH1,0.321277735966167
ARIH2,-0.435876351233419
ARL1,0.914737442842114
ARL10,0.202262256652962
ARL13B,-0.070206769884261
ARL14EP,0.597949102921775
ARL15,0.729853744967474
ARL16,0.396552114630132
ARL2,0.498884433967326
ARL2BP,0.63920975043875
ARL3,0.953829443707053
ARL4A,0.377396180415036
ARL4C,-0.702800630759928
ARL4D,0.294181522818853
